github,message,,,
https://github.com/mumble-voip/mumble/commit/215220f480fb564fef95483f9aa949a8513302d7,"CI(azure): Fix VERSION variable not being expanded correctly in curl call

On Windows (Batch) the syntax was correct, but mumble-version.py was not being executed due to the path using a slash instead of a backslash.

On UNIX (Bash) the syntax was incorrect: https://unix.stackexchange.com/questions/88452/concatenating-two-variables-with-an-underscore

Co-authored-by: Robert Adam <dev@robert-adam.de>",,,
https://github.com/mumble-voip/mumble/commit/b06aa6a11a11dca9807d52c59a89f2f7bfc3ee2c,"BUILD(installer): Include g15-helper

Fixes #4708",,,
https://github.com/mumble-voip/mumble/commit/bc6b6a3a75285be41d4b60310e60154a4038a861,Merge PR #4715: CI(azure): Simplify and improve job name for Windows builds,,,
https://github.com/mumble-voip/mumble/commit/9be37c9f237b2f3d05ef5bbb564e094d3397dad7,"CI(azure): Simplify and improve job name for Windows builds

This fixes the last build failure, which was due to the job's display name containing spaces.

""x86_64"" is changed to ""x64"" as the latter appears to be the most common identifier for the architecture, at least for Windows.",,,
https://github.com/mumble-voip/mumble/commit/4b533dce5252833aad452f2b39bcd1c305a58796,"Merge pull request #4711: CI(azure): Export BUILD_NUMBER_TOKEN correctly

Turns out environment variables cannot be exported globally:

""/.ci/azure-pipelines/main.yml (Line: 7, Col: 1): Unexpected value 'env'""

It has to be done for each step that makes use of the variable.

Furthermore if a variable is not defined on Azure, the expansion
$(MY_VARIABLE) does not resolve to an empty String (as is the case e.g.
in Bash) but this expression is then taken literally without any
expansion at all. Therefore we have to make sure that the
BUILD_NUMBER_TOKEN variable is always defined. Thus we define it in
main-pr.yml as for PRs we don't define it on Azure.

In order for these variables to not interfere with each other, the
variable name inside the scripts was prefixed with MUMBLE_",,,
https://github.com/mumble-voip/mumble/commit/5d8d17a45aaad00bbe7da78e19677730de83cc54,"CI(azure): Fix usage of BUILD_NUMBER_TOKEN

Turns out environment variables cannot be exported globally:

""/.ci/azure-pipelines/main.yml (Line: 7, Col: 1): Unexpected value 'env'""

It has to be done for each step that makes use of the variable.

Furthermore if a variable is not defined on Azure, the expansion
$(MY_VARIABLE) does not resolve to an empty String (as is the case e.g.
in Bash) but this expression is then taken literally without any
expansion at all. Therefore we have to make sure that the
BUILD_NUMBER_TOKEN variable is always defined. Thus we define it in
main-pr.yml as for PRs we don't define it on Azure.

In order for these variables to not interfere with each other, the
variable name inside the scripts was prefixed with MUMBLE_",,,
https://github.com/mumble-voip/mumble/commit/75ed6142612371090c434ff4436fdd55e60fec2d,Merge PR #4705: FIX(client): Ancient notification icon names,,,
https://github.com/mumble-voip/mumble/commit/0b352ebee5b3b2d703296aa8fb9a2effc39a913e,Merge pull request #4707: DOCS: fixed typos,,,
https://github.com/mumble-voip/mumble/commit/9889a0fa993dd907abb6cebd4609d9447c05f0d2,DOCS: fixed typos,,,
https://github.com/mumble-voip/mumble/commit/860e4f9d4a76a9c6696ae299591f6e5939918f40,"FIX(client): Ancient notification icon names

These no longer exist in contemporary icon themes like Adwaita.

Per https://developer.gnome.org/gtk3/stable/gtk3-Stock-Items.html
and https://specifications.freedesktop.org/icon-naming-spec/latest/ar01s04.html",,,
https://github.com/mumble-voip/mumble/commit/4b36f0f9a7892d03fbac4f40f4862cfb3ab46504,"Merge pull request #4700: FIX(server): Make max bandwidth the highest supported

558000 = 510000 (Opus) + 9600 (position) + 38400 (TCP overhead)

Closes #3895",,,
https://github.com/mumble-voip/mumble/commit/99ea9d7835b823329c87ebd13dbfee6868f51a55,"FIX(server): Make max bandwidth the highest supported

Closes https://github.com/mumble-voip/mumble/issues/3895",,,
https://github.com/mumble-voip/mumble/commit/1455b3969879516d8b0865efec742a0b8b9f4bd0,Merge pull request #4696: FIX: Remove Qt 4 leftover,,,
https://github.com/mumble-voip/mumble/commit/2d3d8c2d0e5f4ff5dce8e6251c7f988278ade52e,Merge pull request #4692: DOCS: Added notes how to build specific versions/commits.,,,
https://github.com/mumble-voip/mumble/commit/f0f2125eb975f5652c57472a54cda22e85b8df5a,FIX: Remove Qt 4 leftover,,,
https://github.com/mumble-voip/mumble/commit/96ea146c51c4d1c69b0c514aa822c3e4f6b52d71,"DOCS(dev): Added a tip linking to faq part of building specific versions/commits to ""build-instructions/README.md""

Signed-off-by: Tobias Gerold <tobias@g3ro.eu>",,,
https://github.com/mumble-voip/mumble/commit/a79f87b000489d6b323e606f3e584422ca1c2e51,"DOCS(dev): Added instructions for building specific versions/commits to ""build-instructions/faq.md"".

Signed-off-by: Tobias Gerold <tobias@g3ro.eu>
Co-authored-by: Robert Adam <dev@robert-adam.de>",,,
https://github.com/mumble-voip/mumble/commit/2fdd96b20088e62dc4a565ba16197f64216da7e4,"Merge PR #4676: FEAT(client, mac): Prompt user for microphone permission if not granted.",,,
https://github.com/heimdal/heimdal/commit/b0bf816ff845dee22820ed42865768ab7a3961db,asn1: Update README-X681.md,,,
https://github.com/heimdal/heimdal/commit/b440b29394ae206e4d8ca8b4537988bfe423dafd,"clang-format w/ Mozilla style for generated code

Mozilla puts function names on column 1.  That's better.",,,
https://github.com/heimdal/heimdal/commit/783b632f1fcecffc6ddf99e599a5661bfa21fde1,asn1: Teach template backend to DEFAULT,,,
https://github.com/heimdal/heimdal/commit/3da24c19ade5584bd05a3482de814fccc05602fc,"asn1: Template backend partial support for SETs

This adds enough support for SET { ... } types to the template backend
to allow the X.690 sample test to be run with the template backend.

Limitations:

 - For DER encoding, the SET { ... } members must be manually sorted by
   the module author.

 - Decoding of out-of-order encodings (BER) is not supported at this
   time.

These shortcomings will be addressed later.

Note that because we don't parse IMPORTed modules at this time, we can't
sort SET { ... } members at compile time if any of them out an
outer-most tag that the compiler cannot see without learning to parse
IMPORTed modules.",,,
https://github.com/heimdal/heimdal/commit/3b8b9a797c19151be0961c58950abad7f3d4409d,asn1: Update ASN.1 IOS futures README,,,
https://github.com/heimdal/heimdal/commit/6aefc255b67bc5195e8078c860bc00c5b87b72b5,roken: Fix rk_strrasvisx() bug,,,
https://github.com/heimdal/heimdal/commit/a8205cacb8a52d6e67355cb241b11165c10d43ad,asn1: Add README-X681.md (futures),,,
https://github.com/heimdal/heimdal/commit/cb1ccf50fdf4383d9c19e7f605210034cc5a0379,"Revert ""asn1: Don't use heim_any_set""

This reverts commit 7da32e1b683ae2c786efe88c90f08a59f41452fb.

Needs more work.",,,
https://github.com/heimdal/heimdal/commit/7da32e1b683ae2c786efe88c90f08a59f41452fb,asn1: Don't use heim_any_set,,,
https://github.com/heimdal/heimdal/commit/8ab671d470e247e57a4e55c884ce108643b71eb1,asn1: Update README.temlate,,,
https://github.com/heimdal/heimdal/commit/9b54accd4d11eb48854b645adb9543a3164ec0f1,"asn1: Bare template sup. for SET{...} types

The regular ASN.1 compiler does NOT sort SET { ... } types' members by
tag, though it should.  It cannot because if a field is of an untagged
imported type, then the compiler won't know the field's tag because the
compiler does not read and parse IMPORTed modules.  At least the regular
ASN.1 compiler does handle out-of-order encodings on decode.

The template ASN.1 compiler did not even support SET { ... } types at
all.  With this commit the template ASN.1 compiler does, but still it
does not sort members on encode, and it does not decode out-of-
[definition-]order encodings.

A proper fix to these issues will require run-time sorting of SET
members on encode.  An even better fix will require making the compiler
able to read and parse more than one module in one run, that way it can
know all the things about IMPORTed types that it currently leaves to
run-time.",,,
https://github.com/heimdal/heimdal/commit/35ad30b2b37f9b86b8a1c6007e15ab97d2c59aaf,"asn1/hx509: Undo workaround for fixed bug

Now that the ASN.1 compiler properly supports IMPLICIT tagging of named
CHOICE types (meaning: treat them as EXPLICIT tags), we can remove one
workaround for that.",,,
https://github.com/heimdal/heimdal/commit/17b1e809bab24238eb5f19134220abfefe7aa766,asn1: Teach template compiler about units,,,
